CVE-2014-0001,HIGH,CRITICAL
CVE-2014-0002,HIGH,CRITICAL
CVE-2014-0003,HIGH,CRITICAL
CVE-2014-0004,MEDIUM,HIGH
CVE-2014-0005,LOW,MEDIUM
CVE-2014-0006,MEDIUM,MEDIUM
CVE-2014-0007,HIGH,CRITICAL
CVE-2014-0008,MEDIUM,MEDIUM
CVE-2014-0009,MEDIUM,MEDIUM
CVE-2014-0010,MEDIUM,HIGH
CVE-2014-0012,MEDIUM,MEDIUM
CVE-2014-0015,MEDIUM,MEDIUM
CVE-2014-0016,MEDIUM,MEDIUM
CVE-2014-0017,LOW,MEDIUM
CVE-2014-0018,LOW,LOW
CVE-2014-0019,LOW,MEDIUM
CVE-2014-0020,MEDIUM,HIGH
CVE-2014-0022,MEDIUM,MEDIUM
CVE-2014-0027,LOW,MEDIUM
CVE-2014-0028,MEDIUM,MEDIUM
CVE-2014-0031,MEDIUM,MEDIUM
CVE-2014-0032,MEDIUM,MEDIUM
CVE-2014-0033,MEDIUM,MEDIUM
CVE-2014-0034,MEDIUM,MEDIUM
CVE-2014-0035,MEDIUM,MEDIUM
CVE-2014-0036,MEDIUM,HIGH
CVE-2014-0037,MEDIUM,HIGH
CVE-2014-0038,MEDIUM,HIGH
CVE-2014-0039,MEDIUM,MEDIUM
CVE-2014-0040,MEDIUM,MEDIUM
CVE-2014-0041,MEDIUM,MEDIUM
CVE-2014-0042,MEDIUM,MEDIUM
CVE-2014-0044,MEDIUM,HIGH
CVE-2014-0045,HIGH,CRITICAL
CVE-2014-0046,LOW,MEDIUM
CVE-2014-0049,HIGH,HIGH
CVE-2014-0050,HIGH,CRITICAL
CVE-2014-0053,MEDIUM,HIGH
CVE-2014-0054,MEDIUM,HIGH
CVE-2014-0055,MEDIUM,MEDIUM
CVE-2014-0056,LOW,MEDIUM
CVE-2014-0057,HIGH,CRITICAL
CVE-2014-0058,LOW,MEDIUM
CVE-2014-0059,LOW,MEDIUM
CVE-2014-0060,MEDIUM,MEDIUM
CVE-2014-0061,MEDIUM,HIGH
CVE-2014-0062,MEDIUM,MEDIUM
CVE-2014-0063,MEDIUM,HIGH
CVE-2014-0064,MEDIUM,HIGH
CVE-2014-0065,MEDIUM,HIGH
CVE-2014-0066,MEDIUM,MEDIUM
CVE-2014-0067,MEDIUM,HIGH
CVE-2014-0069,MEDIUM,HIGH
CVE-2014-0071,MEDIUM,HIGH
CVE-2014-0074,HIGH,CRITICAL
CVE-2014-0075,MEDIUM,HIGH
CVE-2014-0076,LOW,MEDIUM
CVE-2014-0077,MEDIUM,HIGH
CVE-2014-0078,MEDIUM,MEDIUM
CVE-2014-0079,MEDIUM,HIGH
CVE-2014-0080,MEDIUM,HIGH
CVE-2014-0081,MEDIUM,MEDIUM
CVE-2014-0082,MEDIUM,HIGH
CVE-2014-0085,LOW,MEDIUM
CVE-2014-0086,MEDIUM,MEDIUM
CVE-2014-0088,HIGH,CRITICAL
CVE-2014-0089,MEDIUM,MEDIUM
CVE-2014-0090,MEDIUM,HIGH
CVE-2014-0092,MEDIUM,HIGH
CVE-2014-0093,MEDIUM,MEDIUM
CVE-2014-0094,MEDIUM,MEDIUM
CVE-2014-0095,MEDIUM,HIGH
CVE-2014-0096,MEDIUM,MEDIUM
CVE-2014-0098,MEDIUM,HIGH
CVE-2014-0099,MEDIUM,MEDIUM
CVE-2014-0100,HIGH,HIGH
